CODMES,CODSOLICITUD,TARJETA_RELACIONADA,VEHICULAR_RELACIONADA,HIPOTECARIO_RELACIONADA,FLG_PDH,NUMERO_DE_PAGOS_PDH,SEGMENTOCLIENTE_RECLA_ENC,ZONA_CALLAO,ZONA_CENTRO,ZONA_LA_LIBERTAD,ZONA_LIMA,ZONA_MADRE_DE_DIOS,ZONA_NORTE,ZONA_NO_INFORMADO,ZONA_SUR,ZONA_TACNA,ESTADO_CIVIL_TM,ESTADO_CIVIL_CAS,ESTADO_CIVIL_CBS,ESTADO_CIVIL_CON,ESTADO_CIVIL_NO_INFORMADO,ESTADO_CIVIL_SEP,ESTADO_CIVIL_SOL,ESTADO_CIVIL_VIU,ATRASO_MAXIMO_ULT_24M_TCS_TM,MEDIANA_AHORROS_ULT_6M_TCS_TM,DEUDA_TOTAL_SISTEMA_TCS_TM,CLASIF_SISTEMA_ULT_12M_TM,MONTO_DEUDA_TC_SISTEMA_TCS,INGRESO_DECLARADO_CLIENTE_TCS_TM,EDAD_T_TCS_TM,FLG_DEFAULT_12M
201309,3568,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,18925.7,48636.71,0.0,9519.397500000001,6113.295506,33.0,0
201309,3569,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,SEP,0,0,0,0,1,0,0,0.0,1085.74,48636.71,0.0,9519.397500000001,6696.8683588,37.0,0
201309,3570,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,0.0,3586.68,8991.94,0.0,0.0,2007.245867,29.0,0
201309,3571,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,927.96,8910.27,1.0,292.47,2384.151403,42.0,0
201309,3572,1,0,0,1,6,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,0.0,1572.11,7737.54,0.0,0.0,2011.203798,32.0,0
201309,3573,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,0.0,4302.0,14172.718854229795,1.0,0.0,1116.212937,49.0,0
201309,3574,1,0,0,1,24,0,0,0,0,0,0,1,0,0,0,SOL,0,0,0,0,0,1,0,0.0,559.86,14172.718854229795,1.0,0.0,1225.789534,43.0,0
201309,3575,0,0,0,1,7,1,0,0,1,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,904.7,1791.31,4.0,1475.1,1674.481942,36.0,0
201309,3576,1,0,0,1,17,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,1439.8,0.0,0.0,0.0,1628.453682,30.0,0
201309,3577,1,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,0.0,5758.68,2064.26,0.0,0.0,2128.230458,38.0,0
201309,3578,1,0,0,1,21,0,0,0,0,1,0,0,0,0,0,SEP,0,0,0,0,1,0,0,0.0,1842.9,464.94,4.0,464.94,1763.95779,49.0,0
201309,3579,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,CON,0,0,1,0,0,0,0,0.0,13808.61,48636.71,0.0,707.92,5650.664594,39.0,0
201309,3580,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,4371.4,1169.99,0.0,1169.99,2274.580973,40.0,0
201309,3581,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,4362.73,48636.71,0.0,9519.397500000001,3825.702895,60.0,0
201309,3582,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,1.0,1352.82,48636.71,0.0,9519.397500000001,4364.528859,33.0,1
201309,3583,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,17160.41,0.0,0.0,0.0,6696.8683588,33.0,0
201309,3584,1,0,0,1,8,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,291.34,948.17,1.0,865.99,1700.913013,27.0,0
201309,3585,1,0,0,1,14,0,0,0,0,0,0,1,0,0,0,SOL,0,0,0,0,0,1,0,0.0,963.9,14172.718854229795,1.0,0.0,1409.787791,22.0,0
201309,3586,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,271.03,2465.69,2.0,2465.69,1669.6597,35.0,0
201309,3587,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,1438.77,4308.4,1.0,0.0,1560.026463,57.0,0
201309,3588,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,25.3,4906.11,0.0,4506.11,1544.314157,54.0,0
