CODMES;CODSOLICITUD;SEGMENTOCLIENTE;TARJETA_RELACIONADA;VEHICULAR_RELACIONADA;HIPOTECARIO_RELACIONADA;ATRASO_MAXIMO_ULT_24M;MESES_AHORROS_ULT_6M;MEDIANA_AHORROS_ULT_6M;DEUDA_TOTAL_SISTEMA;CLASIF_SISTEMA_ULT_12M;FLG_PDH;NUMERO_DE_PAGOS_PDH;MONTO_DEUDA_TC_SISTEMA;INGRESO_DECLARADO_CLIENTE;ZONA_DEL_DESEMBOLSO;ESTADO_CIVIL;EDAD_T;LINEA_DE_TC_SISTEMA;FLG_DEFAULT_12M
201310;5064;CLIENTES ORO;0;0;0;5;;1646.68;108.39;0;1;15;0;1305.663194;LIMA_ESTE;CAS;57;4397;0
201310;5065;CLIENTES PLATINUM SEGM 1;1;0;0;2;;7417.45;16674.21;0;1;24;0;;LIMA_CENTRO;SOL;35;24800;0
201310;5066;CLIENTES ORO;0;0;0;2;;1414.02;;;1;11;0;1358.569691;LIMA_SUR;SOL;30;3242;0
201310;5067;CLIENTES PLATINUM SEGM 2;0;0;0;2;;13249.94;;0;0;1;0;2505.787083;AREQUIPA;SOL;29;3585;0
201310;5068;CLIENTES PLATINUM SEGM 2;1;0;1;2;;4152.11;260497.97;0;1;24;49278.33;10171.25092;LIMA_CENTRO;CAS;41;2000;0
201310;5069;CLIENTES PLATINUM SEGM 2;1;0;0;2;;18246.89;47532.81;0;1;24;23131.92;5277.681458;LIMA_ESTE;SOL;34;7300;0
201310;5070;CLIENTES ORO;1;0;0;2;;1555.16;363581.31;0;1;1;44040.41;5936.807616;LA_LIBERTAD;SOL;46;15000;0
201310;5071;CLIENTES PLATINUM SEGM 2;1;0;0;2;;2680.09;83785.91;0;0;1;83785.91;4844.922559;ANCASH;SOL;37;83539;1
201310;5072;CLIENTES ORO;0;0;0;2;;980.91;;;1;9;0;1573.910534;AREQUIPA;SOL;32;7239;0
201310;5073;CLIENTES ORO;0;0;0;2;;4128.43;6001.09;1;1;24;0;2419.252594;MOQUEGUA;CAS;44;1297;0
201310;5074;CLIENTES ORO;0;0;0;2;;2258.49;0;0;0;0;0;1754.790946;LIMA_SUR;VIU;48;957;0
201310;5075;CLIENTES ORO;0;0;0;2;;11848.02;1313.59;0;1;24;0;2265.936076;PIURA;SOL;42;15992;0
201310;5076;CLIENTES ORO;1;0;0;2;;6440.52;5881.65;0;1;24;0;1707.829778;LIMA_ESTE;SOL;26;1450;0
201310;5077;CLIENTES PLATINUM SEGM 2;1;0;1;2;;2880.9;158841.22;1;1;24;86798.66;7021.254996;LIMA_MODERNA;CAS;60;26000;0
201310;5078;CLIENTES PLATINUM SEGM 2;0;0;0;2;;968.52;17.32;1;1;21;17.32;2628.526592;ANCASH;CAS;32;11857;0
201310;5079;CLIENTES ORO;1;0;0;2;;4159.07;5127.42;0;1;24;5127.42;1757.82253;LIMA_ESTE;CAS;44;5300;0
201310;5080;CLIENTES ORO;0;0;0;2;;1104.23;;;1;11;0;1075.255994;AREQUIPA;SOL;41;10745;0
201310;5081;CLIENTES ORO;0;0;0;2;;5093.22;1217.5;4;0;1;0;2205.448718;ANCASH;SOL;34;22948;0
201310;5082;CLIENTES PLATINUM SEGM 2;1;0;0;2;;7195.72;6609.45;0;1;3;6609.45;4196.017936;LIMA_ESTE;SOL;29;27000;0
201310;5083;CLIENTES ORO;1;0;0;2;;1405.48;5988.12;0;1;16;5988.12;1564.82269;CUZCO;SOL;44;6290;0
201310;5084;CLIENTES ORO;1;0;0;2;;1656.76;724.17;2;1;24;668.8;2078.531035;LAMBAYEQUE;SOL;30;1600;0
201310;5085;CLIENTES PLATINUM SEGM 2;1;0;0;2;;19672.86;86752.07;0;1;24;0;7245.771834;LIMA_MODERNA;CAS;37;3000;0
201310;5086;CLIENTES ORO;1;0;0;2;;6526.59;1569.29;0;1;24;0;1545.279069;LAMBAYEQUE;SOL;29;500;0
